operator,class,bugSeverity,stubborn,killed,subject,categories,labels,testRequirement,candidate
StyleSize,noneq,1.0,2.0,False,claroline,['wrongSize'],"['cosmetic', 'css']",['assert'],StyleSize_AddCourseExerciseQuestionsTest_43_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-FORM1-TABLE1-TBODY1-TR1-TD2-SPAN1-TABLE1-TBODY1-TR1-TD1-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD5
StyleSize,noneq,0.5,2.0,False,claroline,['wrongSize'],['cosmetic'],['assert'],StyleSize_DoCourseExerciseQuestionsMultipleUsersTest_42_-HTML1-BODY1-DIV1-DIV1-DIV2-DIV1
StyleSize,noneq,0.5,2.0,False,claroline,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddUserTest_34_-HTML1-BODY1-DIV1-DIV2-DIV2
StyleVisibility,noneq,2.0,2.0,False,claroline,['missingElements'],['missingInfo'],['execute'],StyleVisibility_DoCourseExerciseQuestionsTest_37_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV1-DIV1-DIV1-UL1-LI4-A1
StyleColor,noneq,0.5,2.0,False,claroline,['wrongColor'],['cosmetic'],['assert'],StyleColor_AddCourseTest_70_-HTML1-BODY1-DIV1
StyleSize,noneq,0.5,2.0,False,claroline,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddUserTest_34_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV1
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_EnrolMultipleUsersTest_55_-HTML1-BODY1-DIV1-DIV1-DIV2-DIV2-UL1-LI1
StyleVisibility,noneq,2.5,2.0,True,claroline,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['execute'],StyleVisibility_AddCourseEventTest_34_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV1-DIV1-DIV1-UL1-LI11-A1
TextDelete,noneq,2.0,2.0,False,claroline,['missingElements'],['missingInfo'],['assert'],TextDelete_AddUserTest_32_-HTML1-BODY1-DIV1-DIV1-DIV2-DIV2-UL1-LI1
StyleSize,noneq,0.5,2.0,False,claroline,"['wrongSize', 'wrongPosition']",['cosmetic'],['assert'],StyleSize_EnrolMultipleUsersTest_59_-HTML1-BODY1-DIV1-DIV1-DIV3-DIV1-UL1-LI2-A1
StyleSize,noneq,1.0,2.0,True,claroline,"['wrongSize', 'wrongPosition']","['cosmetic', 'css']",['assert'],StyleSize_AddCourseEventTest_34_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV1-DIV1-DIV1-UL1-LI5-A1
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddCourseExerciseTest_38_-HTML1-BODY1-DIV1-DIV2
SubtreeDelete,noneq,2.0,2.0,False,claroline,['missingElements'],['missingInfo'],['assert'],SubtreeDelete_SearchAllowedCourseTest_34_-HTML1-BODY1-DIV1-DIV1-DIV1-DIV1-SPAN1
StyleVisibility,noneq,2.5,2.0,True,claroline,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']","['assert', 'execute']",StyleVisibility_EnrolMultipleUsersTest_67_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-TABLE1-TBODY1-TR4-TD10-A1
EventHandlerReplace,noneq,2.5,3.0,False,claroline,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerReplace_AddCourseExerciseQuestionsTest_43_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-FORM1-TABLE1-TBODY1-TR2-TD2-SPAN1-TABLE1-TBODY1-TR1-TD1-DIV1-SPAN1-TABLE1-TBODY1-TR1-TD13-A1
AttributeReplace,noneq,2.5,3.0,False,claroline,['brokenLink'],['wrongPage'],['executeAssertImmediate'],AttributeReplace_SearchMultipleUsersTest_36_-HTML1-BODY1-DIV1-DIV2-TABLE2-THEAD1-TR1-TH2-A1
